titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
Perspective for our partners: Boundaries of the firm.;Enkel, Ellen;null;null;null;2001;2020-04-20 11:15:07+00:00;Arbeiten im Büro hat auch gesundheitliche Vorteile - vor allem wenn da lange nicht gelüftet wurde wie derzeit. Ja f… https://t.co/lSwbcp7WFn
Executive Information System (EIS).;Back, Andrea & Seufert, Andreas;Springer;null;null;2001;2020-04-19 17:45:21+00:00;Verheerende Krankheiten seit jeher. 20 Epi6-/Pandemien im Vergleich. Schwer vorstellbar, was das heute für unsere N… https://t.co/NlyoOKtB3t
Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen.;Back, Andrea;null;Swiss Forum for Educational Media (SFEM 2007);null;15. Nov 07;2020-04-17 18:57:04+00:00;"@TomCBerger Wenn es nur so einfach wäre, aus Daten ""Wahrheiten"" zu lesen. ""we have to wait a long time for more det… https://t.co/YxFuCyZxvA"
Avatar.;Bendel, Oliver;Springer;null;null;2001;2020-04-13 19:15:29+00:00;Office for one: The same procedure as last week. (Zeichnung von Kera Till, aus FAZ-Magazin Ostern 2020 -… https://t.co/pDEjw44huu
Praxisberichte aus dem Competence Network Business 2.0.;Back, Andrea & Haentschel-erhart, Irene;null;"Seminar ""Weblogs, Wikis, Podcasts & Co. - Wissenstransfer der nächsten Generation""";null;25. Okt 07;2020-04-09 13:52:50+00:00;@STARTFELD Innovationsforum: Auf dem Weg zur Innovationskultur startet nach Ostern mit Serie von Online-Werchstätte… https://t.co/2w7GI1LdRi
Zeit für kreative Verdrängung des Althergebrachten im betrieblichen E-Learning: Disruptive Innovation.;Back, Andrea;null;Swiss eEducation Forum, info society days 2009;null;02. Mär 09;2020-04-09 08:58:35+00:00;Gestern keine gedruckte Frankfurter Allgemeine Zeitung, wegen Ausfall technischer Systeme @FAZ_NET. Mir gings wie S… https://t.co/0W6tvHWbez
Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen.;Enkel, Ellen & Back, Andrea;Frankfurter Allg. Buch;null;null;2002;2020-04-09 08:58:35+00:00;Gestern keine gedruckte Frankfurter Allgemeine Zeitung, wegen Ausfall technischer Systeme @FAZ_NET. Mir gings wie S… https://t.co/0W6tvHWbez
Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design.;Walter, Thomas & Back, Andrea;Institute of Information Management, University of St.Gallen;null;null;2013;2020-04-06 19:38:25+00:00;Public Health Perspektive: Sachlich und ausgewogen, lohnt Lesen von A-Z. Viele Tweet-Zitate wert. https://t.co/wyDakdlKOx
Groupware-Applikationen an der Universität St. Gallen.;Back, Andrea & Grabher, K.;null;null;Informatik/Informatique;01. Jan 95;2020-04-05 08:29:03+00:00;Oh je, so viel Rot in Norditalien - merkte man das bei Reisen da hin? https://t.co/Tkp3Wl8v8d
Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü.;Bendel, Oliver;null;null;null;01. Apr 03;2020-04-03 18:40:44+00:00;Trotz widerstreitender Gefühle, Humor gehört dazu: #SoSchuetzenWirUns. Viren/Bakterien im Frust-Gespräch: A: It's s… https://t.co/XT8wBYBg4z
Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace.;Back, Andrea;null;null;null;2012;2020-04-02 22:10:25+00:00;"RT @mathemagenic: ""The public should not be misled by presenting false stories of hope to motivate behavior in the short-term. Public healt…"
Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.;Back, Andrea;Empa-Akademie;Fachtagung Web-Based Training 2005;null;28. Apr 05;2020-04-02 22:00:52+00:00;Für Kinder, und kindliche Gemüter, und überhaupt: lange WE in Sicht. Ob es Kunstwerk-Vorlagen mit Ostereiern gibt? https://t.co/IdzSmb5Tj6
"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";Back, Andrea;null;null;null;01. Jan 93;2020-04-02 19:03:23+00:00;Allseits bekannt: Gute Ideen und Lösungen fliegen einem unter der Dusche, beim Joggen, in REM-Schlafphasen zu. Neu… https://t.co/120llCPZHb
